Date,Open,High,Low,Close,Volume
2022-05-27,38700,39000,38500,39000,1575800
2022-05-30,39000,39250,38600,39250,1390900
2022-05-31,39000,39750,38850,39400,1776600
2022-06-01,39300,39700,39150,39650,1539200
2022-06-02,39600,39600,38800,39450,2935600
2022-06-03,39050,39600,39000,39400,1249100
2022-06-06,39350,39450,38950,39250,1503500
2022-06-07,39250,39250,38850,39000,1562200
2022-06-08,38900,39350,38800,39050,1441700
2022-06-09,39000,39100,38650,39050,1542100
2022-06-10,38900,39100,38750,39000,979600
2022-06-13,38300,38700,38100,38200,1795500
2022-06-14,38100,38300,37600,38300,2058500
2022-06-15,38300,38450,37650,38350,2037200
2022-06-16,38000,38850,37900,38300,1597800
2022-06-17,37900,38300,37550,38300,3725300
2022-06-20,38300,38300,37650,37800,2132800
2022-06-21,37600,37600,36900,37500,1956200
2022-06-22,37350,37500,36800,37500,1418900
2022-06-23,37050,37100,36500,37100,1548900
2022-06-24,36750,37300,36000,37300,1514800
2022-06-27,36900,37400,36750,36900,1822400
2022-06-28,36500,36900,36200,36800,2228300
2022-06-29,36400,36700,36150,36700,1429300
2022-06-30,36350,36750,36200,36750,1878800
2022-07-01,36600,36700,36050,36300,1866600
2022-07-04,36200,36350,36100,36350,758300
2022-07-05,36350,36400,36000,36150,1478700
2022-07-06,36000,36050,33750,33750,2171700
2022-07-07,34000,34900,33250,34900,2174100
2022-07-08,35000,35350,33750,35000,1413800
2022-07-11,33850,35000,33100,35000,2385900
2022-07-12,34300,35100,34000,34950,1212400
2022-07-13,34300,35000,34150,34750,2004600
2022-07-14,34750,34900,34250,34750,1414300
2022-07-15,34550,34900,34300,34800,1582500
2022-07-18,34800,34800,34000,34000,1088000
2022-07-19,34000,34500,34000,34400,655400
2022-07-20,34400,34500,34100,34100,626100
2022-07-21,34100,34400,34050,34250,930600
2022-07-22,34050,34250,33250,33250,674700
2022-07-25,33450,33700,33250,33650,755800
2022-07-26,33050,33800,33050,33050,592700
2022-07-27,33100,33400,33000,33250,581400
2022-07-28,33300,33550,33000,33500,1152200
2022-07-29,33900,33900,32000,32000,1908500
2022-08-01,32450,32549,32049,32350,1261800
2022-08-02,32400,32900,32250,32900,958300
2022-08-03,32900,33200,32549,33000,1250700
2022-08-04,33000,33200,32700,33200,1146000
2022-08-05,32950,33100,32600,32700,1134900
2022-08-08,32700,32850,32299,32299,1010300
2022-08-09,32400,32700,32350,32650,792000
2022-08-10,32500,32800,32350,32400,967900
2022-08-11,32800,33200,32500,32900,1674000
2022-08-12,32900,33100,32750,33100,811200
2022-08-15,33150,33250,33050,33200,802100
2022-08-16,33200,33200,32850,32950,862200
2022-08-17,33100,33900,33000,33650,2201000
2022-08-18,33600,34650,33600,34050,2769100
2022-08-19,34000,34200,33400,33950,1221600
2022-08-22,33600,34000,33000,33000,1469100
2022-08-23,32750,32800,32400,32500,1437800
2022-08-24,32600,32900,32450,32450,787500
2022-08-25,32500,32950,32500,32950,483000
2022-08-26,33000,33000,32500,32500,861300
2022-08-29,32150,32200,31500,31800,1337500
2022-08-30,31800,32049,31600,31800,868400
2022-08-31,32000,32850,31850,31850,1236800
2022-09-05,32400,32600,32000,32000,1310100
2022-09-06,32049,32400,31550,31650,1335600
2022-09-07,31650,31700,31250,31250,1347400
2022-09-08,31650,31800,31200,31450,841200
2022-09-09,31600,32200,31450,32200,1193800
2022-09-12,32450,32450,31900,32000,551100
2022-09-13,32000,32150,31800,32049,1059100
2022-09-14,31750,31850,31050,31700,711000
2022-09-15,31750,32000,31400,31950,851300
2022-09-16,31600,32250,31250,31250,1684400
2022-09-19,31250,31650,31050,31450,786000
2022-09-20,31300,31950,31300,31950,800100
2022-09-21,31750,31800,31350,31550,482700
2022-09-22,31250,31650,29350,31650,1238700
2022-09-23,31500,31650,31000,31300,324200
2022-09-26,30900,31300,30800,31000,1195900
2022-09-27,31050,31100,30400,30500,639100
2022-09-28,30050,30400,28750,28750,1138100
2022-09-29,28850,29100,27150,27300,1701100
2022-09-30,26650,28200,26650,27500,1724300
2022-10-03,27450,27750,26500,27750,1452700
2022-10-04,28000,28500,27300,28500,1296700
2022-10-05,28750,30450,28500,30000,1328100
2022-10-06,29900,31000,29050,30050,1011900
2022-10-07,30250,30350,29150,30100,2987900
2022-10-10,30100,30450,28850,30100,1238400
2022-10-11,29150,30050,28350,30000,2186800
2022-10-12,30000,30100,29150,30000,1709700
2022-10-13,29350,30500,29100,30200,1246400
2022-10-14,30250,30250,29200,29850,779400
2022-10-17,29300,29500,28000,28000,738200
2022-10-18,28250,29300,28250,29200,606100
2022-10-19,29250,29350,28250,29250,826400
2022-10-20,29050,29350,28600,29300,1099200
2022-10-21,29250,29250,27250,28400,1414600
2022-10-24,28000,28300,26450,28250,1606100
2022-10-25,28150,28150,26500,28050,1446700
2022-10-26,28050,28050,26750,27400,1054100
2022-10-27,27300,27500,26250,27500,1974800
2022-10-28,27700,27900,26750,27850,1281000
2022-10-31,28000,28200,27150,27700,1052800
2022-11-01,27850,27900,27000,27700,1419100
2022-11-02,27650,27700,27000,27700,1352500
2022-11-03,27200,27550,27150,27550,909700
2022-11-04,27450,27450,26050,27150,1617900
2022-11-07,27000,27000,25850,26700,1702500
2022-11-08,26100,26650,24850,26650,2476100
2022-11-09,26650,27150,26100,26850,1573900
2022-11-10,26800,27000,26000,26500,1558000
